n 41, TimeSeries size 41
0.007,0.996924
0.007,0.996294
0.008,0.995455
0.009,0.994655
0.010,0.993294
0.011,0.99206
0.012,0.991053
0.014,0.989016
0.015,0.987416
0.017,0.985578
0.018,0.982984
0.020,0.979216
0.022,0.976923
0.025,0.973707
0.027,0.968607
0.030,0.964601
0.033,0.955151
0.037,0.95171
0.041,0.942067
0.045,0.938864
0.050,0.929512
0.055,0.916385
0.061,0.913633
0.067,0.899705
0.074,0.885654
0.082,0.872998
0.091,0.859686
0.100,0.839514
0.111,0.825774
0.122,0.811205
0.135,0.797711
0.150,0.778845
0.165,0.743164
0.183,0.728731
0.202,0.694088
0.223,0.670064
0.247,0.637434
0.273,0.600169
0.301,0.58831
0.333,0.552329
0.368,0.518857
